disease_id,data_name,cohorte,entidad,sexo,motor_productivo,source
parkinson,Parkinson,neuro,México,hombres,DeepAR,tabla_333
parkinson,Parkinson,neuro,México,mujeres,Stacking,tabla_333
parkinson,Parkinson,neuro,México,general,Stacking,tabla_333
parkinson,Parkinson,neuro,Nayarit,hombres,DeepAR,tabla_333
parkinson,Parkinson,neuro,Nayarit,mujeres,Ensemble,tabla_333
parkinson,Parkinson,neuro,Nayarit,general,Prophet,tabla_333
parkinson,Parkinson,neuro,Nuevo León,hombres,Stacking,tabla_333
parkinson,Parkinson,neuro,Nuevo León,mujeres,Prophet,tabla_333
parkinson,Parkinson,neuro,Nuevo León,general,DeepAR,tabla_333
parkinson,Parkinson,neuro,Oaxaca,hombres,Prophet,tabla_333
parkinson,Parkinson,neuro,Oaxaca,mujeres,Prophet,tabla_333
parkinson,Parkinson,neuro,Oaxaca,general,Prophet,tabla_333
parkinson,Parkinson,neuro,Puebla,hombres,Ensemble,tabla_333
parkinson,Parkinson,neuro,Puebla,mujeres,Prophet,tabla_333
parkinson,Parkinson,neuro,Puebla,general,Prophet,tabla_333
parkinson,Parkinson,neuro,Querétaro,hombres,Ensemble,tabla_333
parkinson,Parkinson,neuro,Querétaro,mujeres,Ensemble,tabla_333
parkinson,Parkinson,neuro,Querétaro,general,Prophet,tabla_333
parkinson,Parkinson,neuro,Quintana Roo,hombres,Prophet,tabla_333
parkinson,Parkinson,neuro,Quintana Roo,mujeres,Ensemble,tabla_333
parkinson,Parkinson,neuro,Quintana Roo,general,Stacking,tabla_333
parkinson,Parkinson,neuro,San Luis Potosí,hombres,Ensemble,tabla_333
parkinson,Parkinson,neuro,San Luis Potosí,mujeres,Prophet,tabla_333
parkinson,Parkinson,neuro,San Luis Potosí,general,Prophet,tabla_333
parkinson,Parkinson,neuro,Sinaloa,hombres,Stacking,tabla_333
parkinson,Parkinson,neuro,Sinaloa,mujeres,Prophet,tabla_333
parkinson,Parkinson,neuro,Sinaloa,general,Stacking,tabla_333
parkinson,Parkinson,neuro,Sonora,hombres,DeepAR,tabla_333
parkinson,Parkinson,neuro,Sonora,mujeres,Prophet,tabla_333
parkinson,Parkinson,neuro,Sonora,general,Prophet,tabla_333
parkinson,Parkinson,neuro,Tabasco,hombres,Stacking,tabla_333
parkinson,Parkinson,neuro,Tabasco,mujeres,Ensemble,tabla_333
parkinson,Parkinson,neuro,Tabasco,general,Prophet,tabla_333
parkinson,Parkinson,neuro,Tamaulipas,hombres,DeepAR,tabla_333
parkinson,Parkinson,neuro,Tamaulipas,mujeres,Ensemble,tabla_333
parkinson,Parkinson,neuro,Tamaulipas,general,Ensemble,tabla_333
parkinson,Parkinson,neuro,Tlaxcala,hombres,Ensemble,tabla_333
parkinson,Parkinson,neuro,Tlaxcala,mujeres,Ensemble,tabla_333
parkinson,Parkinson,neuro,Tlaxcala,general,Ensemble,tabla_333
parkinson,Parkinson,neuro,Veracruz,hombres,Prophet,tabla_333
parkinson,Parkinson,neuro,Veracruz,mujeres,DeepAR,tabla_333
parkinson,Parkinson,neuro,Veracruz,general,DeepAR,tabla_333
parkinson,Parkinson,neuro,Yucatán,hombres,Prophet,tabla_333
parkinson,Parkinson,neuro,Yucatán,mujeres,Prophet,tabla_333
parkinson,Parkinson,neuro,Yucatán,general,DeepAR,tabla_333
parkinson,Parkinson,neuro,Zacatecas,hombres,Ensemble,tabla_333
parkinson,Parkinson,neuro,Zacatecas,mujeres,Ensemble,tabla_333
parkinson,Parkinson,neuro,Zacatecas,general,Prophet,tabla_333
parkinson,Parkinson,neuro,region_Metropolitana alta,hombres,DeepAR,tabla_333
parkinson,Parkinson,neuro,region_Metropolitana alta,mujeres,DeepAR,tabla_333
parkinson,Parkinson,neuro,region_Metropolitana alta,general,DeepAR,tabla_333
parkinson,Parkinson,neuro,region_Rural / dispersa,hombres,DeepAR,tabla_333
parkinson,Parkinson,neuro,region_Rural / dispersa,mujeres,DeepAR,tabla_333
parkinson,Parkinson,neuro,region_Rural / dispersa,general,DeepAR,tabla_333
parkinson,Parkinson,neuro,region_Sur-Sureste vulnerable,hombres,DeepAR,tabla_333
parkinson,Parkinson,neuro,region_Sur-Sureste vulnerable,mujeres,DeepAR,tabla_333
parkinson,Parkinson,neuro,region_Sur-Sureste vulnerable,general,DeepAR,tabla_333
parkinson,Parkinson,neuro,region_Urbana media,hombres,DeepAR,tabla_333
parkinson,Parkinson,neuro,region_Urbana media,mujeres,DeepAR,tabla_333
parkinson,Parkinson,neuro,region_Urbana media,general,DeepAR,tabla_333
dengue,Dengue,dengue,Aguascalientes,general,NBGLM,produccion_dengue
dengue,Dengue,dengue,Aguascalientes,hombres,NBGLM,produccion_dengue
dengue,Dengue,dengue,Aguascalientes,mujeres,Prophet,produccion_dengue
